,ovro_name,cgrabs_name,3FGL_name,Clean_3lac,3LAC,flux_int,n_flux,n_uplim,4FGL_name,4FGLDR2_RAJ2000,4FGLDR2_DEJ2000,4FGLDR2_ROI_num
0,PKS1510-089,,3FGL J1512.8-0906,Y,Y,92.703112,48,0,4FGL J1512.8-0906 ,228.21470642089844,-9.106399536132812,355
1,J2253+1608,J2253+1608,3FGL J2254.0+1608,Y,Y,237.375639,48,0,4FGL J2253.9+1609 ,343.4963073730469,16.15060043334961,859
2,J2203+1725,J2203+1725,3FGL J2203.4+1725,Y,Y,7.42772,48,0,4FGL J2203.4+1725 ,330.8721008300781,17.431800842285156,870
3,J2143+1743,J2143+1743,3FGL J2143.5+1744,Y,Y,13.842121,48,0,4FGL J2143.5+1743 ,325.8941955566406,17.730600357055664,1464
4,J1959+6508,J1959+6508,3FGL J2000.0+6509,Y,Y,4.301544,48,0,4FGL J2000.0+6508 ,300.010986328125,65.14790344238281,534
5,J1806+6949,J1806+6949,3FGL J1806.7+6949,Y,Y,4.810415,48,0,4FGL J1806.8+6949 ,271.7107849121094,69.8270034790039,758
6,J1800+7828,J1800+7828,3FGL J1800.5+7827,Y,Y,8.776493,48,0,4FGL J1800.6+7828 ,270.1730041503906,78.46739959716797,725
7,J1748+7005,J1748+7005,3FGL J1748.6+7005,Y,Y,4.502538,48,0,4FGL J1748.6+7005 ,267.1579895019531,70.0969009399414,758
8,J1653+3945,J1653+3945,3FGL J1653.9+3945,Y,Y,5.240971,48,0,4FGL J1653.8+3945 ,253.4738006591797,39.759498596191406,531
9,J1635+3808,J1635+3808,3FGL J1635.2+3809,Y,Y,26.979384,48,0,4FGL J1635.2+3808 ,248.81680297851562,38.140098571777344,1132
10,J1555+1111,J1555+1111,3FGL J1555.7+1111,Y,Y,5.694361,48,0,4FGL J1555.7+1111 ,238.93130493164062,11.188400268554688,1429
11,J1522+3144,J1522+3144,3FGL J1522.1+3144,Y,Y,39.206216,48,0,4FGL J1522.1+3144 ,230.54539489746094,31.739500045776367,1449
12,J1256-0547,J1256-0547,3FGL J1256.1-0547,Y,Y,44.707463,48,0,4FGL J1256.1-0547 ,194.04150390625,-5.788700103759766,878
13,J1248+5820,J1248+5820,3FGL J1248.2+5820,Y,Y,3.355393,48,0,4FGL J1248.3+5820 ,192.0843963623047,58.34320068359375,932
14,J1231+2847,,3FGL J1231.7+2847,Y,Y,2.473193,48,0,4FGL J1231.7+2847 ,187.93490600585938,28.79170036315918,950
15,J1229+0203,J1229+0203,3FGL J1229.1+0202,Y,Y,46.273482,48,0,4FGL J1229.0+0202 ,187.2675018310547,2.0453999042510986,957
16,J1221+2813,J1221+2813,3FGL J1221.4+2814,Y,Y,4.852635,48,0,4FGL J1221.5+2814 ,185.37840270996094,28.23819923400879,950
17,J1217+3007,J1217+3007,3FGL J1217.8+3007,Y,Y,6.357583,48,0,4FGL J1217.9+3007 ,184.4761962890625,30.117700576782227,950
18,J1159+2914,J1159+2914,3FGL J1159.5+2914,Y,Y,12.278689,48,0,4FGL J1159.5+2914 ,179.88400268554688,29.244800567626953,1142
19,J1127-1857,J1127-1857,3FGL J1127.0-1857,Y,Y,11.44105,48,0,4FGL J1127.0-1857 ,171.76339721679688,-18.964000701904297,803
20,J1104+3812,J1104+3812,3FGL J1104.4+3812,Y,Y,18.036083,48,0,4FGL J1104.4+3812 ,166.1186981201172,38.207000732421875,779
21,J1058+5628,J1058+5628,3FGL J1058.6+5627,Y,Y,3.437535,48,0,4FGL J1058.6+5627 ,164.6652069091797,56.463401794433594,1303
22,J1058+0133,J1058+0133,3FGL J1058.5+0133,Y,Y,9.913983,48,0,4FGL J1058.4+0133 ,164.62399291992188,1.5641000270843506,558
23,J1015+4926,J1015+4926,3FGL J1015.0+4925,Y,Y,5.00506,48,0,4FGL J1015.0+4926 ,153.76800537109375,49.43360137939453,754
24,J0854+2006,J0854+2006,3FGL J0854.8+2006,Y,Y,7.863308,48,0,4FGL J0854.8+2006 ,133.7071075439453,20.11590003967285,1145
25,J0818+4222,J0818+4222,3FGL J0818.2+4223,Y,Y,7.116529,48,0,4FGL J0818.2+4222 ,124.55719757080078,42.381900787353516,1002
