,flux_fermi,eflux_fermi,mjd_fermi
0,2.6328979336562914e-07,3.7256617931773956e-08,58487.49480324074
1,1.6875929256899606e-07,5.0882683133185225e-08,58494.49480324074
2,1.871170406587911e-07,4.40465356977775e-08,58501.49480324074
3,2.1960479503710694e-07,4.2119925765611556e-08,58508.49480324074
4,2.677169446221004e-07,3.830873162298461e-08,58515.49480324074
5,1.315841438310319e-07,3.3669391525722014e-08,58522.49480324074
6,2.301584199433473e-07,3.7261806728192866e-08,58529.49480324074
7,4.0418933626751714e-07,5.627185567426898e-08,58536.49480324074
8,4.084838504284203e-07,5.867239887623791e-08,58543.49480324074
9,3.1376907131559564e-07,5.0434605134853685e-08,58550.49480324074
10,2.687172003126907e-07,4.605350031456675e-08,58557.49480324074
11,4.030189118014003e-07,5.8771393193688735e-08,58564.49480324074
12,3.295974108147434e-07,5.862803873996451e-08,58571.49480324074
13,2.975644603723526e-07,5.648504766131224e-08,58578.49480324074
14,5.975892722884771e-07,6.446451801136947e-08,58585.49480324074
15,5.133696957473673e-07,5.6999656389529605e-08,58592.49480324074
16,8.834520849792416e-07,7.285749903031172e-08,58599.49480324074
17,1.0475042260939203e-06,6.938925562153557e-08,58606.49480324074
18,5.436461168442734e-07,5.8060025186128095e-08,58613.49480324074
19,7.280699028213305e-07,6.604492244131988e-08,58620.49480324074
20,4.0533380889136193e-07,5.3252622427915763e-08,58627.49480324074
21,2.854115291606894e-07,4.3872463884158305e-08,58634.49480324074
22,2.953223199188739e-07,3.874187321827602e-08,58641.49480324074
23,2.8173631474012395e-07,4.14442084651218e-08,58648.49480324074
24,2.5543497169820813e-07,5.5573559473431854e-08,58655.49480324074
25,2.586735229182491e-07,4.622442415526718e-08,58662.49480324074
26,4.500852096754899e-07,5.299599787469597e-08,58669.49480324074
27,4.806929342782262e-07,4.705677842820484e-08,58676.49480324074
28,9.236893713374303e-07,5.430527929582091e-08,58683.49480324074
29,5.695380877178233e-07,4.54175714453497e-08,58690.49480324074
30,5.016831606476461e-07,6.302066278801367e-08,58697.49480324074
31,3.0116615456043756e-07,5.082226855654227e-08,58704.49480324074
32,2.741749539713329e-07,5.4427698971875015e-08,58711.49480324074
33,3.8074510747195093e-07,5.496803563976812e-08,58718.49480324074
34,3.5767807506080216e-07,4.524813963932021e-08,58725.49480324074
35,3.865084955964366e-07,4.756969877906857e-08,58732.49480324074
36,3.462423808688283e-07,6.44223621789197e-08,58739.49480324074
37,5.263918557860556e-07,5.961254323071627e-08,58746.49480324074
38,5.694235243393775e-07,1.0133506496035917e-07,58753.49480324074
39,4.67946709280891e-07,6.575522654073791e-08,58760.49480324074
40,3.8011269645800926e-07,5.1447723541884517e-08,58767.49480324074
41,2.147138509563504e-07,5.235192771419026e-08,58774.49480324074
42,1.8854712090909173e-07,5.2508303837833207e-08,58781.49480324074
43,2.7656969015007177e-07,6.060424803672711e-08,58788.49480324074
44,1.475396648303577e-07,4.6479966835580346e-08,58795.49480324074
45,1.0305486520463556e-07,4.15427856872361e-08,58802.49480324074
46,2.2462965420827575e-07,4.7907218970443084e-08,58809.49480324074
47,5.50066362600616e-07,5.916682507498328e-08,58816.49480324074
48,4.366716566339771e-07,5.527923099507718e-08,58823.49480324074
49,7.167284236974666e-07,6.997421066135398e-08,58830.49480324074
50,7.521372463875732e-07,6.013469327037804e-08,58837.49480324074
51,5.498476035038263e-07,4.795696527467079e-08,58844.49480324074
52,1.0686492212544647e-06,5.479885868131961e-08,58851.49480324074
53,6.888609866546146e-07,5.892749294406292e-08,58858.49480324074
54,1.0726852014736292e-06,7.510015970659912e-08,58865.49480324074
55,5.917239540903695e-07,6.136588997948028e-08,58872.49480324074
56,5.035685475477214e-07,6.089857364331122e-08,58879.49480324074
57,5.306947428671695e-07,4.8118401929124396e-08,58886.49480324074
58,4.351056861293688e-07,4.48384866642127e-08,58893.49480324074
59,2.3828321995828757e-07,4.480835258780544e-08,58900.49480324074
60,5.613921611884838e-07,6.085012104669969e-08,58907.49480324074
61,3.37012287326842e-07,5.343020855834129e-08,58914.49480324074
62,1.1638667699311982e-06,7.538025026620645e-08,58921.49480324074
63,8.780708107265278e-07,6.667497117942614e-08,58928.49480324074
64,1.156842588089523e-06,8.076117201495114e-08,58935.49480324074
65,4.309158723862486e-07,6.602241514341682e-08,58942.49480324074
66,1.8125634233556803e-07,4.6564017076268244e-08,58949.49480324074
67,2.6514686265620803e-07,5.4581018421783884e-08,58956.49480324074
68,7.533100564225877e-07,6.189072731470932e-08,58963.49480324074
69,4.174140054668118e-07,5.898219684540889e-08,58970.49480324074
70,1.431559077486528e-07,4.18539767358966e-08,58977.49480324074
71,2.757558861232276e-07,5.231490953668324e-08,58984.49480324074
72,9.982948549132364e-07,7.145328663136297e-08,58991.49480324074
73,3.2973300241834323e-07,5.0087492966914495e-08,58998.49480324074
74,7.964090308804667e-07,5.3561052084685853e-08,59005.49480324074
75,3.2819556378517994e-07,3.843340890669885e-08,59012.49480324074
76,1.539883034354338e-07,4.377219536353515e-08,59019.49480324074
77,3.454904363834409e-07,5.6225582843310677e-08,59026.49480324074
78,3.6798208203782545e-07,5.3545985436793074e-08,59033.49480324074
79,2.5721127482578314e-07,5.1316783842166884e-08,59040.49480324074
80,2.076705428826881e-07,3.9675547430828236e-08,59047.49480324074
81,2.8893033260117763e-07,4.333697795672314e-08,59054.49480324074
82,4.062821174234918e-07,4.4724588475544764e-08,59061.49480324074
83,8.66787812724963e-07,6.615917018494836e-08,59068.49480324074
84,1.0915737121889447e-06,7.603629607445075e-08,59075.49480324074
85,2.318193840657763e-06,9.927153616092317e-08,59082.49480324074
86,1.8514877967067748e-06,9.11915064533571e-08,59089.49480324074
87,1.5061819259378519e-06,6.750784361466691e-08,59096.49480324074
88,8.194383433810106e-07,6.350962621471307e-08,59103.49480324074
89,1.8243668948888525e-06,9.774004893733354e-08,59110.49480324074
90,1.0751816314292651e-06,7.564934050101351e-08,59117.49480324074
91,1.7876664101753172e-06,1.3846464634465871e-07,59124.49480324074
92,1.3529286635044898e-06,8.194413254506487e-08,59131.49480324074
93,4.5576331356158713e-07,5.489494010428781e-08,59138.49480324074
94,5.171167716554354e-07,6.009956846153494e-08,59145.49480324074
95,3.8009455854930725e-07,6.501411219239701e-08,59152.49480324074
96,5.523447825669075e-07,7.064364713103726e-08,59159.49480324074
