MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1140047052440,16.69,0.08,170.20036,42.20351,53712.44790,0
1140047052440,16.67,0.08,170.20035,42.20353,53712.45740,0
1140047052440,16.69,0.08,170.20023,42.20355,53712.46691,0
1140047052440,16.65,0.08,170.20023,42.20353,53712.47638,0
1140047052440,16.63,0.07,170.20026,42.20356,53734.41425,0
1140047052440,16.56,0.07,170.20024,42.20355,53734.42305,0
1140047052440,16.58,0.07,170.20030,42.20354,53734.43196,0
1140047052440,16.54,0.07,170.20028,42.20356,53734.44106,0
1140047052440,16.70,0.08,170.20032,42.20355,53527.20145,0
1140047052440,16.69,0.08,170.20024,42.20359,53527.20974,0
1140047052440,16.73,0.08,170.20032,42.20359,53527.21813,0
1140047052440,16.66,0.08,170.20032,42.20356,53527.22651,0
1140047052440,16.65,0.08,170.20018,42.20354,53854.31703,0
1140047052440,16.66,0.08,170.20025,42.20358,53854.32404,0
1140047052440,16.70,0.08,170.20020,42.20354,53854.33106,0
1140047052440,16.70,0.08,170.20031,42.20350,53854.33808,0
1140047052440,16.70,0.08,170.20033,42.20356,54086.38066,0
1140047052440,16.65,0.08,170.20032,42.20360,54086.39097,0
1140047052440,16.66,0.08,170.20042,42.20338,54086.40243,0
1140047052440,16.64,0.08,170.20028,42.20354,54086.41646,0
1140047052440,16.68,0.08,170.20031,42.20354,53770.34068,0
1140047052440,16.68,0.08,170.20026,42.20350,53770.34877,0
1140047052440,16.61,0.07,170.20021,42.20352,53770.35685,0
1140047052440,16.63,0.08,170.20027,42.20349,53770.36497,0
1140047052440,16.65,0.08,170.20022,42.20350,53789.34927,0
1140047052440,16.59,0.07,170.20031,42.20352,53741.46213,0
1140047052440,16.54,0.07,170.20034,42.20351,53741.47188,0
1140047052440,16.57,0.07,170.20025,42.20361,53741.48164,0
1140047052440,16.59,0.07,170.20029,42.20361,53741.49078,0
1140047052440,16.66,0.08,170.20028,42.20358,53757.48619,0
1140047052440,16.58,0.07,170.20033,42.20352,53757.49285,0
1140047052440,16.61,0.07,170.20029,42.20357,53757.49943,0
1140047052440,16.61,0.07,170.20024,42.20346,53757.50603,0
1140047052440,16.41,0.14,170.20056,42.20354,53902.23375,0
1140047052440,16.57,0.15,170.20045,42.20365,53902.23473,0
1140047052440,16.45,0.15,170.20030,42.20357,53902.23573,0
1140047052440,16.51,0.15,170.20046,42.20359,53902.23673,0
1140047052440,16.65,0.08,170.20021,42.20350,53796.30944,0
1140047052440,16.64,0.08,170.20025,42.20344,53796.31713,0
1140047052440,16.65,0.08,170.20027,42.20354,53796.32488,0
1140047052440,16.65,0.08,170.20025,42.20349,53796.33246,0
1140047052440,16.64,0.08,170.20030,42.20349,53860.27838,0
1140047052440,16.64,0.08,170.20020,42.20352,53860.28379,0
1140047052440,16.66,0.08,170.20017,42.20361,53860.28923,0
1140047052440,16.63,0.08,170.20027,42.20357,53860.29464,0
1140047052440,16.45,0.14,170.20048,42.20366,53866.26999,0
1140047052440,16.47,0.14,170.20026,42.20361,53866.27073,0
1140047052440,16.47,0.14,170.20042,42.20347,53866.27157,0
1140047052440,16.64,0.16,170.20022,42.20363,53866.27239,0
1140047052440,16.58,0.08,170.20029,42.20357,53883.15885,0
1140047052440,16.50,0.08,170.20016,42.20341,53883.16542,0
1140047052440,16.58,0.08,170.20025,42.20360,53883.17190,0
1140047052440,16.56,0.08,170.20024,42.20349,53883.17844,0
1140047052440,16.62,0.07,170.20025,42.20363,54066.40496,0
1140047052440,16.67,0.07,170.20034,42.20360,54066.41579,0
1140047052440,16.67,0.07,170.20030,42.20352,54066.42680,0
1140047052440,16.69,0.07,170.20034,42.20356,54066.43773,0
1140047052440,16.70,0.08,170.20029,42.20352,54208.25051,0
1140047052440,16.68,0.08,170.20033,42.20352,54208.26001,0
1140047052440,16.68,0.08,170.20028,42.20342,54208.26907,0
1140047052440,16.66,0.07,170.20022,42.20344,54208.27795,0
1140047052440,16.69,0.07,170.20027,42.20345,54452.37188,0
1140047052440,16.69,0.07,170.20032,42.20360,54452.37870,0
1140047052440,16.74,0.08,170.20029,42.20357,54452.38527,0
1140047052440,16.68,0.07,170.20035,42.20350,54452.39187,0
1140047052440,16.69,0.07,170.20031,42.20349,54262.19493,0
1140047052440,16.69,0.07,170.20025,42.20352,54262.20299,0
1140047052440,16.70,0.07,170.20026,42.20351,54262.21104,0
1140047052440,16.66,0.07,170.20022,42.20351,54262.21906,0
1140047052440,16.72,0.07,170.20027,42.20366,54273.19732,0
1140047052440,16.73,0.07,170.20018,42.20357,54273.20321,0
1140047052440,16.78,0.07,170.20039,42.20351,54273.20915,0
1140047052440,16.72,0.07,170.20031,42.20368,54273.21508,0
1140047052440,16.72,0.08,170.20035,42.20363,54169.28564,0
1140047052440,16.62,0.08,170.20018,42.20345,54169.29112,0
1140047052440,16.65,0.08,170.20032,42.20356,54169.29661,0
1140047052440,16.67,0.08,170.20028,42.20356,54169.30211,0
1140047052440,16.65,0.07,170.20026,42.20347,54176.21646,0
1140047052440,16.64,0.07,170.20027,42.20354,54176.22402,0
1140047052440,16.62,0.07,170.20028,42.20352,54176.23154,0
1140047052440,16.60,0.07,170.20028,42.20352,54176.23910,0
1140047052440,16.72,0.08,170.20030,42.20355,54232.27490,0
1140047052440,16.64,0.08,170.20025,42.20347,54232.28147,0
1140047052440,16.69,0.08,170.20033,42.20357,54232.28799,0
1140047052440,16.70,0.08,170.20027,42.20346,54232.29452,0
1140047052440,16.69,0.08,170.20025,42.20361,54244.21815,0
1140047052440,16.65,0.08,170.20035,42.20366,54244.22355,0
1140047052440,16.68,0.08,170.20032,42.20360,54244.22893,0
1140047052440,16.75,0.08,170.20039,42.20362,54244.23432,0
1140047052440,16.74,0.08,170.20030,42.20357,54417.48349,0
1140047052440,16.75,0.08,170.20032,42.20355,54417.49016,0
1140047052440,16.66,0.07,170.20034,42.20364,54417.49685,0
1140047052440,16.73,0.08,170.20018,42.20357,54417.50355,0
1140047052440,16.56,0.07,170.20020,42.20359,54559.18691,0
1140047052440,16.49,0.07,170.20028,42.20350,54559.19235,0
1140047052440,16.45,0.07,170.20023,42.20342,54559.19775,0
1140047052440,16.51,0.07,170.20031,42.20351,54559.20312,0
1140047052440,16.51,0.07,170.20023,42.20355,54566.24243,0
1140047052440,16.50,0.07,170.20030,42.20352,54566.24904,0
1140047052440,16.48,0.07,170.20032,42.20353,54566.25564,0
1140047052440,16.50,0.07,170.20029,42.20353,54566.26220,0
1140047052440,16.58,0.07,170.20034,42.20366,54572.22457,0
1140047052440,16.50,0.07,170.20035,42.20365,54572.22970,0
1140047052440,16.53,0.07,170.20031,42.20352,54572.23485,0
1140047052440,16.54,0.07,170.20023,42.20366,54572.24000,0
1140047052440,16.57,0.07,170.20032,42.20370,54584.25964,0
1140047052440,16.57,0.07,170.20031,42.20364,54584.26534,0
1140047052440,16.57,0.07,170.20032,42.20356,54584.27102,0
1140047052440,16.51,0.07,170.20019,42.20354,54584.27670,0
1140047052440,16.81,0.08,170.20029,42.20367,54805.48329,0
1140047052440,16.77,0.08,170.20032,42.20363,54805.49090,0
1140047052440,16.79,0.08,170.20027,42.20349,54805.49851,0
1140047052440,16.78,0.08,170.20012,42.20356,54805.50619,0
1140047052440,16.64,0.08,170.20031,42.20364,54507.30896,0
1140047052440,16.55,0.08,170.20030,42.20364,54507.31648,0
1140047052440,16.66,0.08,170.20026,42.20362,54507.32393,0
1140047052440,16.62,0.08,170.20027,42.20361,54507.33141,0
1140047052440,16.70,0.07,170.20021,42.20350,54480.35382,0
1140047052440,16.69,0.07,170.20030,42.20358,54480.36322,0
1140047052440,16.73,0.08,170.20031,42.20351,54480.37259,0
1140047052440,16.71,0.07,170.20030,42.20354,54480.38196,0
1140047052440,16.60,0.08,170.20027,42.20360,54642.16367,0
1140047052440,16.60,0.08,170.20025,42.20355,54642.16908,0
1140047052440,16.56,0.08,170.20020,42.20356,54642.17443,0
1140047052440,16.61,0.08,170.20032,42.20358,54642.17983,0
1140047052440,16.58,0.07,170.20036,42.20351,54535.39036,0
1140047052440,16.57,0.07,170.20027,42.20351,54535.39474,0
1140047052440,16.60,0.07,170.20012,42.20354,54535.39919,0
1140047052440,16.62,0.07,170.20034,42.20359,54535.40361,0
1140047052440,16.64,0.08,170.20020,42.20367,54548.41104,0
1140047052440,16.66,0.08,170.20034,42.20362,54548.41765,0
1140047052440,16.61,0.08,170.20033,42.20350,54548.42430,0
1140047052440,16.66,0.08,170.20034,42.20368,54548.43090,0
1140047052440,16.57,0.07,170.20030,42.20354,54594.25465,0
1140047052440,16.62,0.07,170.20027,42.20350,54594.26122,0
1140047052440,16.61,0.07,170.20027,42.20358,54594.26778,0
1140047052440,16.56,0.07,170.20032,42.20360,54594.27435,0
1140047052440,16.65,0.08,170.20026,42.20362,54787.47766,0
1140047052440,16.56,0.08,170.20019,42.20349,54787.48206,0
1140047052440,16.53,0.08,170.20016,42.20354,54787.48638,0
1140047052440,16.55,0.08,170.20041,42.20357,54787.49072,0
1140047052440,16.60,0.08,170.20034,42.20361,54787.49499,0
1140047052440,16.74,0.08,170.20024,42.20361,54922.33041,0
1140047052440,16.70,0.08,170.20031,42.20367,54922.33828,0
1140047052440,16.74,0.08,170.20016,42.20360,54922.34621,0
1140047052440,16.67,0.08,170.20011,42.20357,54922.35413,0
1140047052440,16.63,0.07,170.20021,42.20351,54945.28379,0
1140047052440,16.58,0.08,170.20028,42.20349,54945.29044,0
1140047052440,16.61,0.07,170.20022,42.20353,54945.29706,0
1140047052440,16.64,0.07,170.20029,42.20359,54945.30372,0
1140047052440,16.80,0.08,170.20031,42.20349,55182.47941,0
1140047052440,16.74,0.08,170.20020,42.20359,55182.48405,0
1140047052440,16.70,0.07,170.20031,42.20360,55182.48864,0
1140047052440,16.76,0.08,170.20039,42.20360,55182.49331,0
1140047052440,16.73,0.08,170.20027,42.20364,54876.46072,0
1140047052440,16.79,0.08,170.20045,42.20372,54876.46617,0
1140047052440,16.77,0.08,170.20018,42.20360,54876.47160,0
1140047052440,16.72,0.08,170.20039,42.20361,54876.47697,0
1140047052440,16.91,0.09,170.20022,42.20366,54886.31142,0
1140047052440,17.17,0.09,170.20009,42.20342,54886.31569,0
1140047052440,16.77,0.08,170.20024,42.20358,54886.31990,0
1140047052440,16.85,0.08,170.20025,42.20354,54886.32410,0
1140047052440,16.75,0.08,170.20026,42.20369,54861.29236,0
1140047052440,16.80,0.08,170.20027,42.20358,54861.30535,0
1140047052440,16.87,0.08,170.20033,42.20370,54861.31826,0
1140047052440,16.87,0.08,170.20025,42.20365,54861.33134,0
1140047052440,16.68,0.07,170.20031,42.20351,54892.25630,0
1140047052440,16.72,0.07,170.20034,42.20355,54892.26552,0
1140047052440,16.70,0.07,170.20020,42.20344,54892.27465,0
1140047052440,16.70,0.07,170.20031,42.20354,54892.28382,0
1140047052440,16.70,0.07,170.20034,42.20360,54911.24504,0
1140047052440,16.69,0.07,170.20025,42.20352,54911.25062,0
1140047052440,16.71,0.07,170.20028,42.20353,54911.25629,0
1140047052440,16.73,0.08,170.20029,42.20359,54911.26208,0
1140047052440,16.55,0.07,170.20029,42.20358,54977.20647,0
1140047052440,16.56,0.07,170.20027,42.20354,54977.21443,0
1140047052440,16.59,0.07,170.20036,42.20361,54977.22235,0
1140047052440,16.57,0.07,170.20016,42.20359,54977.23031,0
1140047052440,16.91,0.09,170.20027,42.20349,55144.48051,0
1140047052440,16.82,0.08,170.20030,42.20359,55144.48486,0
1140047052440,16.94,0.09,170.20018,42.20357,55144.48920,0
1140047052440,16.87,0.08,170.20027,42.20360,55144.49352,0
1140047052440,16.90,0.08,170.20031,42.20353,55160.44324,0
1140047052440,16.92,0.08,170.20034,42.20351,55160.45127,0
1140047052440,16.81,0.08,170.20026,42.20351,55160.45936,0
1140047052440,16.90,0.08,170.20032,42.20357,55160.46741,0
1140047052440,16.58,0.07,170.20020,42.20345,55297.12610,0
1140047052440,16.59,0.07,170.20022,42.20359,55297.13389,0
1140047052440,16.58,0.07,170.20016,42.20345,55297.14146,0
1140047052440,16.55,0.07,170.20028,42.20347,55297.14913,0
1140047052440,16.64,0.07,170.20034,42.20352,55305.20488,0
1140047052440,16.59,0.07,170.20022,42.20355,55305.21287,0
1140047052440,16.52,0.07,170.20026,42.20350,55305.22099,0
1140047052440,16.59,0.07,170.20028,42.20352,55305.22907,0
1140047052440,16.52,0.07,170.20020,42.20343,55247.24674,0
1140047052440,16.58,0.07,170.20021,42.20345,55247.25192,0
1140047052440,16.62,0.08,170.20012,42.20349,55247.25715,0
1140047052440,16.52,0.07,170.20015,42.20335,55247.26231,0
