"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0001.2-0748","PMN J0001-0746","0.3209","-7.8159","89.0222","-67.3242","6.95219e-10","8.96015e-11","2.14935","0.0867803","BL LAC","Link","Link","Link"
"3FGL J0002.2-4152","1RXS J000135.5-415519","0.5621","-41.8828","334.07","-72.1427","2.71403e-10","6.10046e-11","2.08892","0.18958","Blazar candidate","Link","Link","Link"
"3FGL J0003.2-5246","RBS 0006","0.8152","-52.7771","318.976","-62.8247","2.59037e-10","6.53159e-11","1.89521","0.174029","Blazar candidate","Link","Link","Link"
"3FGL J0003.8-1151","PMN J0004-1148","0.9588","-11.8627","84.4319","-71.0842","2.33899e-10","6.32703e-11","2.02352","0.175589","Blazar candidate","Link","Link","Link"
"3FGL J0008.0+4713","MG4 J000800+4712","2.0166","47.2281","115.333","-15.0026","1.96637e-9","1.2948e-10","2.021","0.0502417","BL LAC","Link","Link","Link"
"3FGL J0008.6-2340","RBS 0016","2.1743","-23.6721","50.2801","-79.7526","2.28455e-10","6.36656e-11","1.59893","0.177909","BL LAC","Link","Link","Link"
"3FGL J0009.1+0630","CRATES J000903.95+062821.5","2.2952","6.5052","104.489","-54.8463","5.49015e-10","8.46316e-11","2.17936","0.110213","BL LAC","Link","Link","Link"
"3FGL J0009.3+5030","NVSS J000922+503028","2.3337","50.5104","116.116","-11.8033","3.09364e-9","1.48727e-10","1.92864","0.032476","BL LAC","Link","Link","Link"
"3FGL J0009.6-3211","IC 1531","2.4016","-32.1987","1.25167","-79.6018","2.76568e-10","6.15887e-11","2.30973","0.145129","Blazar candidate","Link","Link","Link"
"3FGL J0012.4+7040","TXS 0008+704","3.11","70.6721","119.687","8.04648","4.35554e-10","9.79158e-11","2.48375","0.143859","Blazar candidate","Link","Link","Link"
"3FGL J0013.2-3954","PKS 0010-401","3.3038","-39.9083","332.324","-74.9622","6.06758e-10","7.76545e-11","2.21178","0.0903268","BL LAC","Link","Link","Link"
"3FGL J0013.9-1853","RBS 0030","3.4761","-18.8966","74.6269","-78.0784","2.37344e-10","5.92761e-11","1.93515","0.167372","BL LAC","Link","Link","Link"
"3FGL J0014.0-5025","RBS 0032","3.515","-50.4285","317.451","-65.6331","2.44516e-10","5.80069e-11","1.92388","0.159528","BL LAC","Link","Link","Link"
"3FGL J0014.6+6119","4C +60.01","3.6592","61.3182","118.53","-1.23858","6.70284e-10","1.25115e-10","1.88749","0.110335","Blazar candidate","Link","Link","Link"
"3FGL J0014.7+5802","1RXS J001442.2+580201","3.6827","58.0424","118.075","-4.48273","3.70229e-10","1.00853e-10","1.91282","0.165098","BL LAC","Link","Link","Link"
"3FGL J0015.7+5552","GB6 J0015+5551","3.9408","55.8747","117.909","-6.64868","4.4492e-10","9.35647e-11","2.11453","0.139038","Blazar candidate","Link","Link","Link"
"3FGL J0017.2-0643","PMN J0017-0650","4.3049","-6.7237","99.6685","-68.0363","3.87995e-10","7.59585e-11","2.1162","0.14478","Blazar candidate","Link","Link","Link"
"3FGL J0018.4+2947","RBS 0042","4.603","29.794","114.432","-32.532","2.13575e-10","6.34539e-11","1.86452","0.214523","BL LAC","Link","Link","Link"
"3FGL J0018.9-8152","PMN J0019-8152","4.7454","-81.8769","304.33","-35.1631","6.52968e-10","8.742e-11","2.07544","0.102043","BL LAC","Link","Link","Link"
"3FGL J0019.1-5645","PMN J0019-5641","4.7967","-56.7515","311.732","-59.8224","2.85657e-10","5.81017e-11","2.39093","0.174323","Blazar candidate","Link","Link","Link"
"3FGL J0019.4+2021","PKS 0017+200","4.862","20.3664","112.844","-41.8778","2.94511e-10","6.72646e-11","2.24863","0.156127","BL LAC","Link","Link","Link"
"3FGL J0021.6-6835","PKS 0021-686","5.409","-68.5917","307.012","-48.2998","2.11629e-10","5.61217e-11","2.65247","0.159262","Blazar candidate","Link","Link","Link"
"3FGL J0021.6-2553","CRATES J002132.55-255049.3","5.4146","-25.8867","41.8114","-83.2244","5.96837e-10","7.77087e-11","2.09929","0.0996131","BL LAC","Link","Link","Link"
"3FGL J0022.1-1855","1RXS J002209.2-185333","5.5355","-18.923","82.031","-79.3874","9.01106e-10","9.41374e-11","1.79902","0.0715816","BL LAC","Link","Link","Link"
"3FGL J0022.1-5141","1RXS J002159.2-514028","5.5479","-51.691","313.62","-64.8261","7.00818e-10","8.00829e-11","1.98743","0.0813263","BL LAC","Link","Link","Link"
"3FGL J0022.5+0608","PKS 0019+058","5.643","6.1378","110.024","-56.0088","2.16218e-9","1.3597e-10","2.07324","0.043178","BL LAC","Link","Link","Link"
"3FGL J0026.7-4603","1RXS J002636.3-460101","6.6849","-46.0597","315.817","-70.4458","2.07877e-10","5.06568e-11","2.45034","0.178119","BL LAC","Link","Link","Link"
"3FGL J0028.6+7507","GB6 J0028+7506","7.1611","75.1186","121.437","12.3131","5.4497e-10","8.81475e-11","2.34146","0.112055","Blazar candidate","Link","Link","Link"
"3FGL J0028.8+1951","TXS 0025+197","7.2009","19.8508","115.683","-42.7021","3.79031e-10","7.65696e-11","2.43368","0.123512","Blazar candidate","Link","Link","Link"
"3FGL J0029.1-7045","PKS 0026-710","7.2961","-70.7555","305.581","-46.2582","6.63223e-10","8.02562e-11","2.28452","0.0952899","BL LAC","Link","Link","Link"
"3FGL J0030.2-1646","1RXS J003019.6-164723","7.5656","-16.7749","96.5208","-78.5458","3.32294e-10","6.72378e-11","1.6472","0.130339","Blazar candidate","Link","Link","Link"
"3FGL J0030.7-0209","PKS B0027-024","7.6977","-2.1574","110.859","-64.5441","8.71142e-10","9.70386e-11","2.37809","0.067716","Blazar candidate","Link","Link","Link"
"3FGL J0031.3+0724","NVSS J003119+072456","7.8299","7.4145","114.189","-55.1153","2.24775e-10","6.70854e-11","1.8239","0.191221","Blazar candidate","Link","Link","Link"
"3FGL J0032.3-2852","PMN J0032-2849","8.0902","-28.8767","9.27488","-85.4413","2.26946e-10","5.65145e-11","2.18952","0.18193","BL LAC","Link","Link","Link"
"3FGL J0033.6-1921","KUV 00311-1938","8.4022","-19.3638","94.2121","-81.2241","2.77195e-9","1.4517e-10","1.71479","0.035383","BL LAC","Link","Link","Link"
"3FGL J0035.2+1513","RX J0035.2+1515","8.8086","15.2222","117.146","-47.4674","8.29038e-10","9.80969e-11","1.8064","0.0858156","BL LAC","Link","Link","Link"
"3FGL J0035.9+5949","1ES 0033+595","8.9891","59.8318","120.986","-2.98138","2.66504e-9","1.60722e-10","1.89778","0.0422078","BL LAC","Link","Link","Link"
"3FGL J0037.9+1239","NVSS J003750+123818","9.4766","12.6518","117.785","-50.0846","9.02948e-10","1.00626e-10","2.15148","0.077107","BL LAC","Link","Link","Link"
"3FGL J0038.0+0012","NVSS J003808+001336","9.5226","0.2095","115.697","-62.4746","4.18741e-10","7.52951e-11","2.15655","0.123155","BL LAC","Link","Link","Link"
"3FGL J0039.0-2218","PMN J0039-2220","9.7505","-22.3068","91.9112","-84.4131","1.73478e-10","5.48908e-11","1.71536","0.197915","Blazar candidate","Link","Link","Link"
"3FGL J0039.1+4330","NVSS J003907+433015","9.7979","43.5016","120.58","-19.3142","3.35059e-10","6.79514e-11","1.96287","0.139325","Blazar candidate","Link","Link","Link"
"3FGL J0040.3+4049","B3 0037+405","10.083","40.8178","120.666","-22.005","8.7253e-11","5.50733e-11","1.13226","0.333024","Blazar candidate","Link","Link","Link"
"3FGL J0040.5-2339","PMN J0040-2340","10.1471","-23.6513","87.17","-85.7468","1.88398e-10","5.68271e-11","1.94622","0.193613","Blazar candidate","Link","Link","Link"
"3FGL J0041.9+3639","RX J0042.0+3641","10.4998","36.6616","120.824","-26.1715","2.18919e-10","6.49039e-11","1.97576","0.208329","BL LAC","Link","Link","Link"
"3FGL J0043.5-0444","1RXS J004333.7-044257","10.892","-4.7398","117.796","-67.533","2.27988e-10","7.26536e-11","1.73459","0.226173","Blazar candidate","Link","Link","Link"
"3FGL J0043.7-1117","1RXS J004349.3-111612","10.935","-11.2881","116.047","-74.0568","2.45056e-10","6.58802e-11","1.59373","0.158821","Blazar candidate","Link","Link","Link"
